"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-1e+11;0.00789447;-0.0566969;-0.0350172
-5e+10;0.00789447;-0.0354878;0.119328
0;0.00789447;1.57761;0
5e+10;0.00789447;-0.0354878;-0.119328
1e+11;0.00789447;-0.0566969;0.0350172
1.5e+11;0.00789447;0.0130613;-0.0247747
2e+11;0.00789447;0.00365353;0.00919245
2.5e+11;0.00789447;-0.00376771;0.00288312
-2.5e+11;0.0081407;-0.00390116;-0.00321847
-2e+11;0.0081407;0.0036885;-0.00937883
-1.5e+11;0.0081407;0.0139607;0.0256655
-1e+11;0.0081407;-0.0594251;-0.0363058
-5e+10;0.0081407;-0.0375718;0.121876
0;0.0081407;1.59738;0
5e+10;0.0081407;-0.0375718;-0.121876
1e+11;0.0081407;-0.0594251;0.0363058
1.5e+11;0.0081407;0.0139607;-0.0256655
2e+11;0.0081407;0.0036885;0.00937883
2.5e+11;0.0081407;-0.00390116;0.00321847
-2.5e+11;0.00838693;-0.00403654;-0.00355846
-2e+11;0.00838693;0.00372651;-0.00954649
-1.5e+11;0.00838693;0.0148848;0.0265664
-1e+11;0.00838693;-0.0621549;-0.0376226
-5e+10;0.00838693;-0.0397035;0.124403
0;0.00838693;1.61829;0
5e+10;0.00838693;-0.0397035;-0.124403
1e+11;0.00838693;-0.0621549;0.0376226
1.5e+11;0.00838693;0.0148848;-0.0265664
2e+11;0.00838693;0.00372651;0.00954649
2.5e+11;0.00838693;-0.00403654;0.00355846
-2.5e+11;0.00863316;-0.00417892;-0.00391326
-2e+11;0.00863316;0.00376174;-0.00969308
-1.5e+11;0.00863316;0.0158334;0.027483
-1e+11;0.00863316;-0.064886;-0.0389669
-5e+10;0.00863316;-0.0418933;0.126895
0;0.00863316;1.63726;0
5e+10;0.00863316;-0.0418933;-0.126895
1e+11;0.00863316;-0.064886;0.0389669
1.5e+11;0.00863316;0.0158334;-0.027483
2e+11;0.00863316;0.00376174;0.00969308
2.5e+11;0.00863316;-0.00417892;0.00391326
-2.5e+11;0.00887939;-0.00433052;-0.004288
-2e+11;0.00887939;0.00379001;-0.00982072
-1.5e+11;0.00887939;0.016803;0.0284163
-1e+11;0.00887939;-0.0676194;-0.0403338
-5e+10;0.00887939;-0.0441392;0.129349
0;0.00887939;1.65603;0
5e+10;0.00887939;-0.0441392;-0.129349
1e+11;0.00887939;-0.0676194;0.0403338
1.5e+11;0.00887939;0.016803;-0.0284163
2e+11;0.00887939;0.00379001;0.00982072
2.5e+11;0.00887939;-0.00433052;0.004288
-2.5e+11;0.00912562;-0.00449019;-0.00468131
-2e+11;0.00912562;0.00381057;-0.0099339
-1.5e+11;0.00912562;0.0177895;0.0293636
-1e+11;0.00912562;-0.0703568;-0.0417175
-5e+10;0.00912562;-0.0464322;0.13177
0;0.00912562;1.67452;0
5e+10;0.00912562;-0.0464322;-0.13177
1e+11;0.00912562;-0.0703568;0.0417175
1.5e+11;0.00912562;0.0177895;-0.0293636
2e+11;0.00912562;0.00381057;0.0099339
2.5e+11;0.00912562;-0.00449019;0.00468131
-2.5e+11;0.00937185;-0.00465566;-0.00508932
-2e+11;0.00937185;0.00382434;-0.010037
-1.5e+11;0.00937185;0.0187891;0.0303214
-1e+11;0.00937185;-0.0730998;-0.0431139
-5e+10;0.00937185;-0.048763;0.134164
0;0.00937185;1.69075;0
5e+10;0.00937185;-0.048763;-0.134164
1e+11;0.00937185;-0.0730998;0.0431139
1.5e+11;0.00937185;0.0187891;-0.0303214
2e+11;0.00937185;0.00382434;0.010037
2.5e+11;0.00937185;-0.00465566;0.00508932
-2.5e+11;0.00961809;-0.00482481;-0.00550833
-2e+11;0.00961809;0.00383248;-0.0101335
-1.5e+11;0.00961809;0.0197994;0.0312867
-1e+11;0.00961809;-0.0758497;-0.0445196
-5e+10;0.00961809;-0.0511241;0.136537
0;0.00961809;1.71043;0
5e+10;0.00961809;-0.0511241;-0.136537
1e+11;0.00961809;-0.0758497;0.0445196
1.5e+11;0.00961809;0.0197994;-0.0312867
2e+11;0.00961809;0.00383248;0.0101335
2.5e+11;0.00961809;-0.00482481;0.00550833
-2.5e+11;0.00986432;-0.00499608;-0.00593557
-2e+11;0.00986432;0.00383582;-0.0102258
-1.5e+11;0.00986432;0.0208184;0.0322573
-1e+11;0.00986432;-0.0786072;-0.0459322
-5e+10;0.00986432;-0.0535106;0.13889
0;0.00986432;1.72859;0
5e+10;0.00986432;-0.0535106;-0.13889
1e+11;0.00986432;-0.0786072;0.0459322
1.5e+11;0.00986432;0.0208184;-0.0322573
2e+11;0.00986432;0.00383582;0.0102258
2.5e+11;0.00986432;-0.00499608;0.00593557
-2.5e+11;0.0101105;-0.00516843;-0.00636913
-2e+11;0.0101105;0.0038349;-0.0103155
-1.5e+11;0.0101105;0.0218449;0.0332316
-1e+11;0.0101105;-0.0813731;-0.0473501
-5e+10;0.0101105;-0.0559189;0.141227
0;0.0101105;1.74678;0
5e+10;0.0101105;-0.0559189;-0.141227
1e+11;0.0101105;-0.0813731;0.0473501
1.5e+11;0.0101105;0.0218449;-0.0332316
2e+11;0.0101105;0.0038349;0.0103155
2.5e+11;0.0101105;-0.00516843;0.00636913
-2.5e+11;0.0103568;-0.00534113;-0.00680772
-2e+11;0.0103568;0.00382997;-0.0104036
-1.5e+11;0.0103568;0.0228781;0.0342085
-1e+11;0.0103568;-0.084148;-0.0487716
-5e+10;0.0103568;-0.0583467;0.143549
0;0.0103568;1.76647;0
5e+10;0.0103568;-0.0583467;-0.143549
1e+11;0.0103568;-0.084148;0.0487716
1.5e+11;0.0103568;0.0228781;-0.0342085
2e+11;0.0103568;0.00382997;0.0104036
2.5e+11;0.0103568;-0.00534113;0.00680772
-2.5e+11;0.010603;-0.00551368;-0.0072505
-2e+11;0.010603;0.00382113;-0.0104909
-1.5e+11;0.010603;0.0239173;0.0351869
-1e+11;0.010603;-0.0869325;-0.0501955
-5e+10;0.010603;-0.0607927;0.145856
0;0.010603;1.7847;0
5e+10;0.010603;-0.0607927;-0.145856
1e+11;0.010603;-0.0869325;0.0501955
1.5e+11;0.010603;0.0239173;-0.0351869
2e+11;0.010603;0.00382113;0.0104909
2.5e+11;0.010603;-0.00551368;0.0072505
-2.5e+11;0.0108492;-0.00568573;-0.00769695
-2e+11;0.0108492;0.00380835;-0.0105779
-1.5e+11;0.0108492;0.0249622;0.0361661
-1e+11;0.0108492;-0.0897272;-0.0516208
-5e+10;0.0108492;-0.063256;0.148148
0;0.0108492;1.80265;0
5e+10;0.0108492;-0.063256;-0.148148
1e+11;0.0108492;-0.0897272;0.0516208
1.5e+11;0.0108492;0.0249622;-0.0361661
2e+11;0.0108492;0.00380835;0.0105779
2.5e+11;0.0108492;-0.00568573;0.00769695
-2.5e+11;0.0110955;-0.00585706;-0.00814684
-2e+11;0.0110955;0.00379145;-0.010665
-1.5e+11;0.0110955;0.0260124;0.0371454
-1e+11;0.0110955;-0.0925325;-0.0530465
-5e+10;0.0110955;-0.0657363;0.150424
0;0.0110955;1.82225;0
5e+10;0.0110955;-0.0657363;-0.150424
