"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;0.004201;1.11179e-19;7.85509e-20
-2e+11;0.004201;1.86772e-19;1.58517e-19
-1.5e+11;0.004201;2.47164e-19;1.19236e-19
-1e+11;0.004201;-4.06813e-20;2.3793e-19
-5e+10;0.004201;-7.00435e-19;0.0021005
0;0.004201;8.40202e-20;0
5e+10;0.004201;-7.00435e-19;-0.0021005
1e+11;0.004201;-4.06813e-20;-2.3793e-19
1.5e+11;0.004201;2.47164e-19;-1.19236e-19
2e+11;0.004201;1.86772e-19;-1.58517e-19
2.5e+11;0.004201;1.11179e-19;-7.85509e-20
-2.5e+11;0.00444723;3.27413e-19;-2.13236e-19
-2e+11;0.00444723;1.39567e-19;3.20067e-20
-1.5e+11;0.00444723;9.55793e-20;1.15485e-19
-1e+11;0.00444723;5.88086e-20;1.42468e-19
-5e+10;0.00444723;-7.29401e-19;0.00222362
0;0.00444723;1.03242e-19;0
5e+10;0.00444723;-7.29401e-19;-0.00222362
1e+11;0.00444723;5.88086e-20;-1.42468e-19
1.5e+11;0.00444723;9.55793e-20;-1.15485e-19
2e+11;0.00444723;1.39567e-19;-3.20067e-20
2.5e+11;0.00444723;3.27413e-19;2.13236e-19
-2.5e+11;0.00469346;1.08834e-19;3.05918e-20
-2e+11;0.00469346;3.18914e-19;1.80549e-19
-1.5e+11;0.00469346;2.65732e-19;3.44929e-19
-1e+11;0.00469346;9.97917e-20;6.66432e-20
-5e+10;0.00469346;-7.95212e-19;0.00234673
0;0.00469346;-9.02398e-21;0
5e+10;0.00469346;-7.95212e-19;-0.00234673
1e+11;0.00469346;9.97917e-20;-6.66432e-20
1.5e+11;0.00469346;2.65732e-19;-3.44929e-19
2e+11;0.00469346;3.18914e-19;-1.80549e-19
2.5e+11;0.00469346;1.08834e-19;-3.05918e-20
-2.5e+11;0.0049397;2.58425e-19;2.05321e-19
-2e+11;0.0049397;1.89737e-19;3.76766e-19
-1.5e+11;0.0049397;1.12438e-19;3.9819e-19
-1e+11;0.0049397;1.15036e-19;8.5536e-20
-5e+10;0.0049397;-7.6234e-19;0.00246985
0;0.0049397;1.34133e-19;0
5e+10;0.0049397;-7.6234e-19;-0.00246985
1e+11;0.0049397;1.15036e-19;-8.5536e-20
1.5e+11;0.0049397;1.12438e-19;-3.9819e-19
2e+11;0.0049397;1.89737e-19;-3.76766e-19
2.5e+11;0.0049397;2.58425e-19;-2.05321e-19
-2.5e+11;0.00518593;2.68392e-19;-7.67562e-21
-2e+11;0.00518593;2.67853e-19;1.47036e-19
-1.5e+11;0.00518593;2.39673e-19;3.8958e-19
-1e+11;0.00518593;9.08298e-20;1.98018e-19
-5e+10;0.00518593;-8.91605e-19;0.00259296
0;0.00518593;-2.03821e-19;0
5e+10;0.00518593;-8.91605e-19;-0.00259296
1e+11;0.00518593;9.08298e-20;-1.98018e-19
1.5e+11;0.00518593;2.39673e-19;-3.8958e-19
2e+11;0.00518593;2.67853e-19;-1.47036e-19
2.5e+11;0.00518593;2.68392e-19;7.67562e-21
-2.5e+11;0.00543216;2.61846e-19;-1.71067e-20
-2e+11;0.00543216;2.68803e-19;1.47913e-19
-1.5e+11;0.00543216;2.8237e-19;4.97752e-19
-1e+11;0.00543216;2.04329e-20;-1.33307e-19
-5e+10;0.00543216;-9.22452e-19;0.00271608
0;0.00543216;9.15686e-20;0
5e+10;0.00543216;-9.22452e-19;-0.00271608
1e+11;0.00543216;2.04329e-20;1.33307e-19
1.5e+11;0.00543216;2.8237e-19;-4.97752e-19
2e+11;0.00543216;2.68803e-19;-1.47913e-19
2.5e+11;0.00543216;2.61846e-19;1.71067e-20
-2.5e+11;0.00567839;2.45411e-19;-2.17894e-21
-2e+11;0.00567839;3.17645e-19;3.14711e-19
-1.5e+11;0.00567839;3.01044e-19;4.80908e-19
-1e+11;0.00567839;1.25132e-19;-6.91391e-20
-5e+10;0.00567839;-1.0004e-18;0.00283919
0;0.00567839;-5.70581e-20;0
5e+10;0.00567839;-1.0004e-18;-0.00283919
1e+11;0.00567839;1.25132e-19;6.91391e-20
1.5e+11;0.00567839;3.01044e-19;-4.80908e-19
2e+11;0.00567839;3.17645e-19;-3.14711e-19
2.5e+11;0.00567839;2.45411e-19;2.17894e-21
-2.5e+11;0.00592462;1.19225e-19;3.07059e-20
-2e+11;0.00592462;4.14609e-19;3.44102e-19
-1.5e+11;0.00592462;2.69869e-19;1.37407e-19
-1e+11;0.00592462;4.81951e-20;-1.80445e-20
-5e+10;0.00592462;-9.93776e-19;0.00296231
0;0.00592462;2.00207e-20;0
5e+10;0.00592462;-9.93776e-19;-0.00296231
1e+11;0.00592462;4.81951e-20;1.80445e-20
1.5e+11;0.00592462;2.69869e-19;-1.37407e-19
2e+11;0.00592462;4.14609e-19;-3.44102e-19
2.5e+11;0.00592462;1.19225e-19;-3.07059e-20
-2.5e+11;0.00617085;3.36012e-19;-9.65447e-21
-2e+11;0.00617085;1.94916e-19;-3.8066e-21
-1.5e+11;0.00617085;3.28228e-19;6.7343e-19
-1e+11;0.00617085;2.36898e-19;3.91461e-19
-5e+10;0.00617085;-1.06072e-18;0.00308543
0;0.00617085;1.14697e-19;0
5e+10;0.00617085;-1.06072e-18;-0.00308543
1e+11;0.00617085;2.36898e-19;-3.91461e-19
1.5e+11;0.00617085;3.28228e-19;-6.7343e-19
2e+11;0.00617085;1.94916e-19;3.8066e-21
2.5e+11;0.00617085;3.36012e-19;9.65447e-21
-2.5e+11;0.00641708;2.54713e-19;-5.87165e-22
-2e+11;0.00641708;3.95271e-19;1.57641e-19
-1.5e+11;0.00641708;2.17628e-19;3.55422e-19
-1e+11;0.00641708;4.58348e-20;7.87188e-20
-5e+10;0.00641708;-1.02637e-18;0.00320854
0;0.00641708;3.49144e-19;0
5e+10;0.00641708;-1.02637e-18;-0.00320854
1e+11;0.00641708;4.58348e-20;-7.87188e-20
1.5e+11;0.00641708;2.17628e-19;-3.55422e-19
2e+11;0.00641708;3.95271e-19;-1.57641e-19
2.5e+11;0.00641708;2.54713e-19;5.87165e-22
-2.5e+11;0.00666331;1.48991e-19;-9.65906e-20
-2e+11;0.00666331;3.66993e-19;1.57409e-19
-1.5e+11;0.00666331;2.9992e-19;2.88703e-19
-1e+11;0.00666331;9.74114e-20;-7.84934e-20
-5e+10;0.00666331;-1.00857e-18;0.00333166
0;0.00666331;8.52838e-20;0
5e+10;0.00666331;-1.00857e-18;-0.00333166
1e+11;0.00666331;9.74114e-20;7.84934e-20
1.5e+11;0.00666331;2.9992e-19;-2.88703e-19
2e+11;0.00666331;3.66993e-19;-1.57409e-19
2.5e+11;0.00666331;1.48991e-19;9.65906e-20
-2.5e+11;0.00690954;7.76231e-20;-1.576e-19
-2e+11;0.00690954;4.17505e-19;3.15552e-19
-1.5e+11;0.00690954;4.56048e-19;6.308e-19
-1e+11;0.00690954;1.31565e-19;-4.31257e-23
-5e+10;0.00690954;-1.14022e-18;0.00345477
0;0.00690954;2.67769e-19;0
5e+10;0.00690954;-1.14022e-18;-0.00345477
1e+11;0.00690954;1.31565e-19;4.31257e-23
1.5e+11;0.00690954;4.56048e-19;-6.308e-19
2e+11;0.00690954;4.17505e-19;-3.15552e-19
2.5e+11;0.00690954;7.76231e-20;1.576e-19
-2.5e+11;0.00715577;2.29052e-19;3.06046e-19
-2e+11;0.00715577;3.31986e-19;-3.30542e-21
-1.5e+11;0.00715577;2.49187e-19;4.77902e-19
-1e+11;0.00715577;1.61976e-19;3.17025e-19
-5e+10;0.00715577;-1.05747e-18;0.00357789
0;0.00715577;5.26722e-19;0
5e+10;0.00715577;-1.05747e-18;-0.00357789
1e+11;0.00715577;1.61976e-19;-3.17025e-19
1.5e+11;0.00715577;2.49187e-19;-4.77902e-19
2e+11;0.00715577;3.31986e-19;3.30542e-21
2.5e+11;0.00715577;2.29052e-19;-3.06046e-19
-2.5e+11;0.00740201;1.9736e-19;-7.90147e-20
-2e+11;0.00740201;5.63986e-19;3.15255e-19
-1.5e+11;0.00740201;4.01735e-19;4.7302e-19
-1e+11;0.00740201;-1.42103e-20;3.15308e-19
-5e+10;0.00740201;-1.25817e-18;0.003701
0;0.00740201;3.12571e-18;0
5e+10;0.00740201;-1.25817e-18;-0.003701
1e+11;0.00740201;-1.42103e-20;-3.15308e-19
1.5e+11;0.00740201;4.01735e-19;-4.7302e-19
2e+11;0.00740201;5.63986e-19;-3.15255e-19
2.5e+11;0.00740201;1.9736e-19;7.90147e-20
-2.5e+11;0.00764824;2.38924e-19;-2.36659e-19
-2e+11;0.00764824;4.37466e-19;3.15313e-19
-1.5e+11;0.00764824;2.98342e-19;4.7315e-19
-1e+11;0.00764824;2.61158e-19;2.36544e-19
-5e+10;0.00764824;-1.22023e-18;0.00382412
0;0.00764824;-3.87484e-18;0
5e+10;0.00764824;-1.22023e-18;-0.00382412
1e+11;0.00764824;2.61158e-19;-2.36544e-19
1.5e+11;0.00764824;2.98342e-19;-4.7315e-19
2e+11;0.00764824;4.37466e-19;-3.15313e-19
2.5e+11;0.00764824;2.38924e-19;2.36659e-19
-2.5e+11;0.00789447;2.99452e-19;2.36496e-19
-2e+11;0.00789447;4.83841e-19;1.57644e-19
-1.5e+11;0.00789447;4.12684e-19;7.88795e-19
-1e+11;0.00789447;1.45592e-19;1.44518e-22
-5e+10;0.00789447;-1.34541e-18;0.00394723
0;0.00789447;-1.44905e-18;0
5e+10;0.00789447;-1.34541e-18;-0.00394723
1e+11;0.00789447;1.45592e-19;-1.44518e-22
1.5e+11;0.00789447;4.12684e-19;-7.88795e-19
2e+11;0.00789447;4.83841e-19;-1.57644e-19
2.5e+11;0.00789447;2.99452e-19;-2.36496e-19
-2.5e+11;0.0081407;2.20043e-19;1.57664e-19
-2e+11;0.0081407;5.00341e-19;1.57664e-19
-1.5e+11;0.0081407;4.37978e-19;7.89427e-20
-1e+11;0.0081407;3.3529e-21;-2.36919e-19
-5e+10;0.0081407;-1.35224e-18;0.00407035
0;0.0081407;-1.70397e-18;0
5e+10;0.0081407;-1.35224e-18;-0.00407035
1e+11;0.0081407;3.3529e-21;2.36919e-19
1.5e+11;0.0081407;4.37978e-19;-7.89427e-20
2e+11;0.0081407;5.00341e-19;-1.57664e-19
2.5e+11;0.0081407;2.20043e-19;-1.57664e-19
-2.5e+11;0.00838693;1.52398e-19;-1.57702e-19
-2e+11;0.00838693;4.69871e-19;1.57509e-19
-1.5e+11;0.00838693;5.69644e-19;7.0991e-19
-1e+11;0.00838693;1.95542e-19;3.94871e-19
-5e+10;0.00838693;-1.39311e-18;0.00419347
0;0.00838693;5.8435e-18;0
5e+10;0.00838693;-1.39311e-18;-0.00419347
1e+11;0.00838693;1.95542e-19;-3.94871e-19
1.5e+11;0.00838693;5.69644e-19;-7.0991e-19
2e+11;0.00838693;4.69871e-19;-1.57509e-19
