"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
2.5e+11;0.00518593;-0.00326615;0.00115205
-2.5e+11;0.00543216;-0.00347856;-0.00162156
-2e+11;0.00543216;0.00742228;-0.00789383
-1.5e+11;0.00543216;-0.00168829;0.0210276
-1e+11;0.00543216;-0.0031529;-0.00490623
-5e+10;0.00543216;-0.288578;-0.31668
0;0.00543216;1.84082e-18;0
5e+10;0.00543216;-0.288578;0.31668
1e+11;0.00543216;-0.0031529;0.00490623
1.5e+11;0.00543216;-0.00168829;-0.0210276
2e+11;0.00543216;0.00742228;0.00789383
2.5e+11;0.00543216;-0.00347856;0.00162156
-2.5e+11;0.00567839;-0.00364631;-0.00213649
-2e+11;0.00567839;0.0078212;-0.00834561
-1.5e+11;0.00567839;-0.00152582;0.0226723
-1e+11;0.00567839;-0.00350902;-0.00533006
-5e+10;0.00567839;-0.295548;-0.322045
0;0.00567839;-5.23542e-19;0
5e+10;0.00567839;-0.295548;0.322045
1e+11;0.00567839;-0.00350902;0.00533006
1.5e+11;0.00567839;-0.00152582;-0.0226723
2e+11;0.00567839;0.0078212;0.00834561
2.5e+11;0.00567839;-0.00364631;0.00213649
-2.5e+11;0.00592462;-0.00377291;-0.00269107
-2e+11;0.00592462;0.00812991;-0.00875075
-1.5e+11;0.00592462;-0.00130076;0.0242563
-1e+11;0.00592462;-0.0038968;-0.00567809
-5e+10;0.00592462;-0.302274;-0.327619
0;0.00592462;-4.31716e-17;0
5e+10;0.00592462;-0.302274;0.327619
1e+11;0.00592462;-0.0038968;0.00567809
1.5e+11;0.00592462;-0.00130076;-0.0242563
2e+11;0.00592462;0.00812991;0.00875075
2.5e+11;0.00592462;-0.00377291;0.00269107
-2.5e+11;0.00617085;-0.00386405;-0.00327898
-2e+11;0.00617085;0.00835925;-0.009117
-1.5e+11;0.00617085;-0.00102561;0.0257894
-1e+11;0.00617085;-0.00431115;-0.00595029
-5e+10;0.00617085;-0.308804;-0.333399
0;0.00617085;-2.59537e-17;0
5e+10;0.00617085;-0.308804;0.333399
1e+11;0.00617085;-0.00431115;0.00595029
1.5e+11;0.00617085;-0.00102561;-0.0257894
2e+11;0.00617085;0.00835925;0.009117
2.5e+11;0.00617085;-0.00386405;0.00327898
-2.5e+11;0.00641708;-0.00392661;-0.00389376
-2e+11;0.00641708;0.00852198;-0.00945276
-1.5e+11;0.00641708;-0.000714627;0.0272834
-1e+11;0.00641708;-0.00474583;-0.006147
-5e+10;0.00641708;-0.315181;-0.339371
0;0.00641708;1.24397e-16;0
5e+10;0.00641708;-0.315181;0.339371
1e+11;0.00641708;-0.00474583;0.006147
1.5e+11;0.00641708;-0.000714627;-0.0272834
2e+11;0.00641708;0.00852198;0.00945276
2.5e+11;0.00641708;-0.00392661;0.00389376
-2.5e+11;0.00666331;-0.00396785;-0.00452937
-2e+11;0.00666331;0.00863051;-0.00976599
-1.5e+11;0.00666331;-0.000382098;0.0287505
-1e+11;0.00666331;-0.00519443;-0.00626791
-5e+10;0.00666331;-0.321446;-0.345512
0;0.00666331;1.63633e-17;0
5e+10;0.00666331;-0.321446;0.345512
1e+11;0.00666331;-0.00519443;0.00626791
1.5e+11;0.00666331;-0.000382098;-0.0287505
2e+11;0.00666331;0.00863051;0.00976599
2.5e+11;0.00666331;-0.00396785;0.00452937
-2.5e+11;0.00690954;-0.00399514;-0.00518059
-2e+11;0.00690954;0.00869486;-0.0100632
-1.5e+11;0.00690954;-4.16e-05;0.0302037
-1e+11;0.00690954;-0.00565113;-0.00631068
-5e+10;0.00690954;-0.327627;-0.351792
0;0.00690954;1.63781e-16;0
5e+10;0.00690954;-0.327627;0.351792
1e+11;0.00690954;-0.00565113;0.00631068
1.5e+11;0.00690954;-4.16e-05;-0.0302037
2e+11;0.00690954;0.00869486;0.0100632
2.5e+11;0.00690954;-0.00399514;0.00518059
