"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.00362208;0.00104009;0.000899717
-2e+11;0.00362208;5.13382e-08;-0.000169203
-1.5e+11;0.00362208;0.00145866;0.00286752
-1e+11;0.00362208;0.00388647;-0.0085477
-5e+10;0.00362208;0.00884974;0.14736
0;0.00362208;1.5204;0
5e+10;0.00362208;0.00884974;-0.14736
1e+11;0.00362208;0.00388647;0.0085477
1.5e+11;0.00362208;0.00145866;-0.00286752
2e+11;0.00362208;5.13382e-08;0.000169203
2.5e+11;0.00362208;0.00104009;-0.000899717
-2.5e+11;0.00378596;0.001353;0.00105985
-2e+11;0.00378596;4.68329e-06;-0.000584925
-1.5e+11;0.00378596;0.0012881;0.00315269
-1e+11;0.00378596;0.00470086;-0.00941203
-5e+10;0.00378596;0.00747601;0.156106
0;0.00378596;1.53182;0
5e+10;0.00378596;0.00747601;-0.156106
1e+11;0.00378596;0.00470086;0.00941203
1.5e+11;0.00378596;0.0012881;-0.00315269
2e+11;0.00378596;4.68329e-06;0.000584925
2.5e+11;0.00378596;0.001353;-0.00105985
-2.5e+11;0.00394984;0.00160066;0.00118433
-2e+11;0.00394984;4.15311e-05;-0.000981883
-1.5e+11;0.00394984;0.00108114;0.00339051
-1e+11;0.00394984;0.00550277;-0.010259
-5e+10;0.00394984;0.00598915;0.164882
0;0.00394984;1.54518;0
5e+10;0.00394984;0.00598915;-0.164882
1e+11;0.00394984;0.00550277;0.010259
1.5e+11;0.00394984;0.00108114;-0.00339051
2e+11;0.00394984;4.15311e-05;0.000981883
2.5e+11;0.00394984;0.00160066;-0.00118433
-2.5e+11;0.00411372;0.00163284;0.00117687
-2e+11;0.00411372;0.000185011;-0.00122394
-1.5e+11;0.00411372;0.000859201;0.00348623
-1e+11;0.00411372;0.00619449;-0.011005
-5e+10;0.00411372;0.00439307;0.17338
0;0.00411372;1.55748;0
5e+10;0.00411372;0.00439307;-0.17338
1e+11;0.00411372;0.00619449;0.011005
1.5e+11;0.00411372;0.000859201;-0.00348623
2e+11;0.00411372;0.000185011;0.00122394
2.5e+11;0.00411372;0.00163284;-0.00117687
-2.5e+11;0.0042776;0.0014891;0.00105178
-2e+11;0.0042776;0.000417892;-0.00133384
-1.5e+11;0.0042776;0.000627881;0.00347548
-1e+11;0.0042776;0.00678313;-0.011681
-5e+10;0.0042776;0.00274988;0.181578
0;0.0042776;1.57047;0
5e+10;0.0042776;0.00274988;-0.181578
1e+11;0.0042776;0.00678313;0.011681
1.5e+11;0.0042776;0.000627881;-0.00347548
2e+11;0.0042776;0.000417892;0.00133384
2.5e+11;0.0042776;0.0014891;-0.00105178
-2.5e+11;0.00444148;0.00127262;0.000871977
-2e+11;0.00444148;0.000693229;-0.00139194
-1.5e+11;0.00444148;0.000382429;0.00343412
-1e+11;0.00444148;0.00731633;-0.0123507
-5e+10;0.00444148;0.00112053;0.189572
0;0.00444148;1.58159;0
5e+10;0.00444148;0.00112053;-0.189572
1e+11;0.00444148;0.00731633;0.0123507
1.5e+11;0.00444148;0.000382429;-0.00343412
2e+11;0.00444148;0.000693229;0.00139194
2.5e+11;0.00444148;0.00127262;-0.000871977
-2.5e+11;0.00460536;0.00102696;0.000663766
-2e+11;0.00460536;0.000991412;-0.00143082
-1.5e+11;0.00460536;0.000123238;0.00339837
-1e+11;0.00460536;0.00780251;-0.0130477
