"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
2.5e+11;0.00378596;-0.00798942;-0.00948494
-2.5e+11;0.00394984;-0.00864097;0.0115608
-2e+11;0.00394984;0.00653037;0.00141661
-1.5e+11;0.00394984;-0.0322297;-0.00166428
-1e+11;0.00394984;-0.0389081;0.111507
-5e+10;0.00394984;-0.371214;-0.309759
0;0.00394984;3.8366e-11;0
5e+10;0.00394984;-0.371214;0.309759
1e+11;0.00394984;-0.0389081;-0.111507
1.5e+11;0.00394984;-0.0322297;0.00166428
2e+11;0.00394984;0.00653037;-0.00141661
2.5e+11;0.00394984;-0.00864097;-0.0115608
-2.5e+11;0.00411372;-0.00856495;0.0119731
-2e+11;0.00411372;0.0081485;0.00331142
-1.5e+11;0.00411372;-0.0313155;-0.00280062
-1e+11;0.00411372;-0.0449169;0.119742
-5e+10;0.00411372;-0.372855;-0.32035
0;0.00411372;5.72442e-13;0
5e+10;0.00411372;-0.372855;0.32035
1e+11;0.00411372;-0.0449169;-0.119742
1.5e+11;0.00411372;-0.0313155;0.00280062
2e+11;0.00411372;0.0081485;-0.00331142
2.5e+11;0.00411372;-0.00856495;-0.0119731
-2.5e+11;0.0042776;-0.00792633;0.0110681
-2e+11;0.0042776;0.00860297;0.00552092
-1.5e+11;0.0042776;-0.0292885;-0.00330413
-1e+11;0.0042776;-0.0510397;0.126407
-5e+10;0.0042776;-0.374745;-0.329426
0;0.0042776;3.01878e-13;0
5e+10;0.0042776;-0.374745;0.329426
1e+11;0.0042776;-0.0510397;-0.126407
1.5e+11;0.0042776;-0.0292885;0.00330413
2e+11;0.0042776;0.00860297;-0.00552092
2.5e+11;0.0042776;-0.00792633;-0.0110681
-2.5e+11;0.00444148;-0.00706705;0.0096587
-2e+11;0.00444148;0.00863336;0.00781602
-1.5e+11;0.00444148;-0.0268595;-0.00352159
-1e+11;0.00444148;-0.0570877;0.132381
-5e+10;0.00444148;-0.376866;-0.337815
0;0.00444148;-1.04499e-13;0
5e+10;0.00444148;-0.376866;0.337815
1e+11;0.00444148;-0.0570877;-0.132381
1.5e+11;0.00444148;-0.0268595;0.00352159
2e+11;0.00444148;0.00863336;-0.00781602
2.5e+11;0.00444148;-0.00706705;-0.0096587
-2.5e+11;0.00460536;-0.00613621;0.00808842
-2e+11;0.00460536;0.00854767;0.0100815
-1.5e+11;0.00460536;-0.0243576;-0.00357535
-1e+11;0.00460536;-0.0629054;0.137996
-5e+10;0.00460536;-0.379334;-0.345802
0;0.00460536;-9.42797e-11;0
5e+10;0.00460536;-0.379334;0.345802
1e+11;0.00460536;-0.0629054;-0.137996
1.5e+11;0.00460536;-0.0243576;0.00357535
2e+11;0.00460536;0.00854767;-0.0100815
2.5e+11;0.00460536;-0.00613621;-0.00808842
-2.5e+11;0.00476924;-0.00521697;0.0065395
-2e+11;0.00476924;0.00850773;0.0122283
-1.5e+11;0.00476924;-0.021998;-0.00349597
-1e+11;0.00476924;-0.0682946;0.143368
-5e+10;0.00476924;-0.382385;-0.353441
0;0.00476924;9.76237e-12;0
5e+10;0.00476924;-0.382385;0.353441
1e+11;0.00476924;-0.0682946;-0.143368
1.5e+11;0.00476924;-0.021998;0.00349597
2e+11;0.00476924;0.00850773;-0.0122283
2.5e+11;0.00476924;-0.00521697;-0.0065395
-2.5e+11;0.00493312;-0.00438672;0.00517374
-2e+11;0.00493312;0.00866064;0.0141439
-1.5e+11;0.00493312;-0.0200169;-0.00327044
-1e+11;0.00493312;-0.0729399;0.148528
-5e+10;0.00493312;-0.386422;-0.360657
0;0.00493312;-3.64541e-10;0
5e+10;0.00493312;-0.386422;0.360657
1e+11;0.00493312;-0.0729399;-0.148528
1.5e+11;0.00493312;-0.0200169;0.00327044
2e+11;0.00493312;0.00866064;-0.0141439
2.5e+11;0.00493312;-0.00438672;-0.00517374
-2.5e+11;0.005097;-0.00375869;0.0042188
-2e+11;0.005097;0.00922263;0.0156332
