 temp-sweep      Vbe            
-1.00000000e+01  1.15268754e+00 
-5.00000000e+00  1.15230674e+00 
 0.00000000e+00  1.15193280e+00 
 5.00000000e+00  1.15156546e+00 
 1.00000000e+01  1.15120462e+00 
 1.50000000e+01  1.15085030e+00 
 2.00000000e+01  1.15050264e+00 
 2.50000000e+01  1.15016190e+00 
 3.00000000e+01  1.14982848e+00 
 3.50000000e+01  1.14950283e+00 
 4.00000000e+01  1.14918560e+00 
 4.50000000e+01  1.14887755e+00 
 5.00000000e+01  1.14857960e+00 
 5.50000000e+01  1.14829285e+00 
 6.00000000e+01  1.14801293e+00 
 6.50000000e+01  1.14775813e+00 
 7.00000000e+01  1.14750710e+00 
 7.50000000e+01  1.14728516e+00 
 8.00000000e+01  1.14707591e+00 
 8.50000000e+01  1.14688027e+00 
 9.00000000e+01  1.14671259e+00 
 9.50000000e+01  1.14656786e+00 
 1.00000000e+02  1.14644651e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.12442501e+00 
-4.50000000e+01  1.12509523e+00 
-4.00000000e+01  1.12573511e+00 
-3.50000000e+01  1.12634648e+00 
-3.00000000e+01  1.12693139e+00 
-2.50000000e+01  1.12749192e+00 
-2.00000000e+01  1.12803028e+00 
-1.50000000e+01  1.12854852e+00 
-1.00000000e+01  1.12904860e+00 
-5.00000000e+00  1.12953232e+00 
 0.00000000e+00  1.13000138e+00 
 5.00000000e+00  1.13045738e+00 
 1.00000000e+01  1.13090184e+00 
 1.50000000e+01  1.13133633e+00 
 2.00000000e+01  1.13176226e+00 
 2.50000000e+01  1.13218114e+00 
 3.00000000e+01  1.13259456e+00 
 3.50000000e+01  1.13300404e+00 
 4.00000000e+01  1.13338742e+00 
 4.50000000e+01  1.13381775e+00 
 5.00000000e+01  1.13422525e+00 
 5.50000000e+01  1.13463525e+00 
 6.00000000e+01  1.13504910e+00 
 6.50000000e+01  1.13546794e+00 
 7.00000000e+01  1.13589266e+00 
 7.50000000e+01  1.13630485e+00 
 8.00000000e+01  1.13674299e+00 
 8.50000000e+01  1.13718882e+00 
 9.00000000e+01  1.13765879e+00 
 9.50000000e+01  1.13810075e+00 
 1.00000000e+02  1.13858010e+00 
 temp-sweep      VBG            
-5.00000000e+01  1.12442501e+00 
-4.50000000e+01  1.12509523e+00 
-4.00000000e+01  1.12573511e+00 
-3.50000000e+01  1.12634648e+00 
-3.00000000e+01  1.12693139e+00 
-2.50000000e+01  1.12749192e+00 
-2.00000000e+01  1.12803028e+00 
-1.50000000e+01  1.12854852e+00 
-1.00000000e+01  1.12904860e+00 
-5.00000000e+00  1.12953232e+00 
 0.00000000e+00  1.13000138e+00 
 5.00000000e+00  1.13045738e+00 
 1.00000000e+01  1.13090184e+00 
 1.50000000e+01  1.13133633e+00 
 2.00000000e+01  1.13176226e+00 
 2.50000000e+01  1.13218114e+00 
 3.00000000e+01  1.13259456e+00 
