"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2e+11;0.00178571;-0.000204574;-7.88503e-05
-1.5e+11;0.00178571;-0.000896573;0.000597242
-1e+11;0.00178571;0.000441493;0.00638654
-5e+10;0.00178571;-0.236883;-0.140617
0;0.00178571;6.34366e-20;0
5e+10;0.00178571;-0.236883;0.140617
1e+11;0.00178571;0.000441493;-0.00638654
1.5e+11;0.00178571;-0.000896573;-0.000597242
2e+11;0.00178571;-0.000204574;7.88503e-05
2.5e+11;0.00178571;-2.88876e-06;5.70108e-05
-2.5e+11;0.00190612;-6.70514e-06;-8.1374e-05
-2e+11;0.00190612;-0.000290997;-0.000113746
-1.5e+11;0.00190612;-0.00117573;0.000766954
-1e+11;0.00190612;0.000487976;0.00760983
-5e+10;0.00190612;-0.252337;-0.150529
0;0.00190612;-4.17763e-20;0
5e+10;0.00190612;-0.252337;0.150529
1e+11;0.00190612;0.000487976;-0.00760983
1.5e+11;0.00190612;-0.00117573;-0.000766954
2e+11;0.00190612;-0.000290997;0.000113746
2.5e+11;0.00190612;-6.70514e-06;8.1374e-05
-2.5e+11;0.00202653;-8.94003e-06;-0.000111156
-2e+11;0.00202653;-0.000395618;-0.000162363
-1.5e+11;0.00202653;-0.00152285;0.00096465
-1e+11;0.00202653;0.000517908;0.00903366
-5e+10;0.00202653;-0.267645;-0.16059
0;0.00202653;6.87593e-21;0
5e+10;0.00202653;-0.267645;0.16059
1e+11;0.00202653;0.000517908;-0.00903366
1.5e+11;0.00202653;-0.00152285;-0.00096465
2e+11;0.00202653;-0.000395618;0.000162363
2.5e+11;0.00202653;-8.94003e-06;0.000111156
-2.5e+11;0.00214694;9.04912e-06;-0.0001661
-2e+11;0.00214694;-0.000539253;-0.000256819
-1.5e+11;0.00214694;-0.00199803;0.00120109
-1e+11;0.00214694;0.000502329;0.0107544
-5e+10;0.00214694;-0.282693;-0.170817
0;0.00214694;-7.77789e-17;0
5e+10;0.00214694;-0.282693;0.170817
1e+11;0.00214694;0.000502329;-0.0107544
1.5e+11;0.00214694;-0.00199803;-0.00120109
2e+11;0.00214694;-0.000539253;0.000256819
2.5e+11;0.00214694;9.04912e-06;0.0001661
-2.5e+11;0.00226734;0.000138168;-0.000358577
-2e+11;0.00226734;-0.000846607;-0.000546894
-1.5e+11;0.00226734;-0.00286174;0.00155104
-1e+11;0.00226734;0.000350832;0.0131283
-5e+10;0.00226734;-0.297032;-0.181184
0;0.00226734;-2.34108e-16;0
5e+10;0.00226734;-0.297032;0.181184
1e+11;0.00226734;0.000350832;-0.0131283
1.5e+11;0.00226734;-0.00286174;-0.00155104
2e+11;0.00226734;-0.000846607;0.000546894
2.5e+11;0.00226734;0.000138168;0.000358577
-2.5e+11;0.00238775;0.000463888;-0.000882147
-2e+11;0.00238775;-0.00164194;-0.00125583
-1.5e+11;0.00238775;-0.00465387;0.00227152
-1e+11;0.00238775;-7.33398e-05;0.0169523
-5e+10;0.00238775;-0.309634;-0.191633
0;0.00238775;-2.24616e-15;0
5e+10;0.00238775;-0.309634;0.191633
1e+11;0.00238775;-7.33398e-05;-0.0169523
1.5e+11;0.00238775;-0.00465387;-0.00227152
2e+11;0.00238775;-0.00164194;0.00125583
2.5e+11;0.00238775;0.000463888;0.000882147
-2.5e+11;0.00250816;0.000789079;-0.00166127
-2e+11;0.00250816;-0.0030558;-0.00222393
-1.5e+11;0.00250816;-0.00742039;0.00356982
-1e+11;0.00250816;-0.000707146;0.0224772
-5e+10;0.00250816;-0.320139;-0.202207
0;0.00250816;-1.83077e-15;0
5e+10;0.00250816;-0.320139;0.202207
1e+11;0.00250816;-0.000707146;-0.0224772
1.5e+11;0.00250816;-0.00742039;-0.00356982
2e+11;0.00250816;-0.0030558;0.00222393
2.5e+11;0.00250816;0.000789079;0.00166127
-2.5e+11;0.00262857;0.000995561;-0.00249881
-2e+11;0.00262857;-0.00481189;-0.00324587
-1.5e+11;0.00262857;-0.0107655;0.00521922
-1e+11;0.00262857;-0.00153918;0.0291759
-5e+10;0.00262857;-0.329135;-0.212916
0;0.00262857;-3.83484e-14;0
5e+10;0.00262857;-0.329135;0.212916
1e+11;0.00262857;-0.00153918;-0.0291759
1.5e+11;0.00262857;-0.0107655;-0.00521922
2e+11;0.00262857;-0.00481189;0.00324587
2.5e+11;0.00262857;0.000995561;0.00249881
-2.5e+11;0.00274898;0.000931893;-0.00307552
-2e+11;0.00274898;-0.00643314;-0.00412369
