"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2e+11;0.00262857;-6.43738e-05;0.000531251
-1.5e+11;0.00262857;0.000942783;0.000824386
-1e+11;0.00262857;-0.00025155;-0.00389613
-5e+10;0.00262857;0.013848;0.100587
0;0.00262857;1.53847;0
5e+10;0.00262857;0.013848;-0.100587
1e+11;0.00262857;-0.00025155;0.00389613
1.5e+11;0.00262857;0.000942783;-0.000824386
2e+11;0.00262857;-6.43738e-05;-0.000531251
2.5e+11;0.00262857;-0.000316664;0.000164314
-2.5e+11;0.00274898;-0.000382047;-0.000186295
-2e+11;0.00274898;-9.06565e-05;0.000723549
-1.5e+11;0.00274898;0.00122094;0.001079
-1e+11;0.00274898;0.000136831;-0.00452381
-5e+10;0.00274898;0.0137062;0.106359
0;0.00274898;1.54828;0
5e+10;0.00274898;0.0137062;-0.106359
1e+11;0.00274898;0.000136831;0.00452381
1.5e+11;0.00274898;0.00122094;-0.001079
2e+11;0.00274898;-9.06565e-05;-0.000723549
2.5e+11;0.00274898;-0.000382047;0.000186295
-2.5e+11;0.00286938;-0.000327662;-0.000116839
-2e+11;0.00286938;-9.41152e-05;0.000809612
-1.5e+11;0.00286938;0.00141744;0.00135166
-1e+11;0.00286938;0.000602485;-0.00511271
-5e+10;0.00286938;0.0133653;0.112206
0;0.00286938;1.56215;0
5e+10;0.00286938;0.0133653;-0.112206
1e+11;0.00286938;0.000602485;0.00511271
1.5e+11;0.00286938;0.00141744;-0.00135166
2e+11;0.00286938;-9.41152e-05;-0.000809612
2.5e+11;0.00286938;-0.000327662;0.000116839
-2.5e+11;0.00298979;-0.000155454;4.50348e-05
-2e+11;0.00298979;-7.67844e-05;0.000783494
-1.5e+11;0.00298979;0.00152437;0.0016357
-1e+11;0.00298979;0.00113212;-0.00565521
-5e+10;0.00298979;0.0128439;0.118107
0;0.00298979;1.57521;0
5e+10;0.00298979;0.0128439;-0.118107
1e+11;0.00298979;0.00113212;0.00565521
1.5e+11;0.00298979;0.00152437;-0.0016357
2e+11;0.00298979;-7.67844e-05;-0.000783494
2.5e+11;0.00298979;-0.000155454;-4.50348e-05
-2.5e+11;0.0031102;7.89852e-05;0.000252025
-2e+11;0.0031102;-5.18929e-05;0.000687974
-1.5e+11;0.0031102;0.00157609;0.00192382
-1e+11;0.0031102;0.00170192;-0.00618571
