"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;8.203e-05;5.03271e-05
-2e+11;0.000215517;2.57368e-05
-1.5e+11;0.000957717;0.0011977
-1e+11;0.00865416;0.00197751
-5e+10;-0.341291;0.0192564
0;3.25894e-17;0
5e+10;-0.341291;-0.0192564
1e+11;0.00865416;-0.00197751
1.5e+11;0.000957717;-0.0011977
2e+11;0.000215517;-2.57368e-05
2.5e+11;8.203e-05;-5.03271e-05
-2.5e+11;9.26992e-05;6.09879e-05
-2e+11;0.000249994;4.3801e-05
-1.5e+11;0.00106906;0.00131848
-1e+11;0.00930192;0.00217997
-5e+10;-0.350051;0.0192475
0;-6.65389e-19;0
5e+10;-0.350051;-0.0192475
1e+11;0.00930192;-0.00217997
1.5e+11;0.00106906;-0.00131848
2e+11;0.000249994;-4.3801e-05
2.5e+11;9.26992e-05;-6.09879e-05
-2.5e+11;0.000103333;7.30426e-05
-2e+11;0.000287816;6.45903e-05
-1.5e+11;0.00119076;0.0014496
-1e+11;0.0099978;0.00240386
-5e+10;-0.358869;0.019176
0;7.63835e-19;0
5e+10;-0.358869;-0.019176
1e+11;0.0099978;-0.00240386
1.5e+11;0.00119076;-0.0014496
2e+11;0.000287816;-6.45903e-05
2.5e+11;0.000103333;-7.30426e-05
-2.5e+11;0.000114485;8.63503e-05
-2e+11;0.000329794;8.77373e-05
-1.5e+11;0.00132405;0.00159114
-1e+11;0.0107463;0.00265088
-5e+10;-0.367745;0.0190348
0;-6.40779e-18;0
5e+10;-0.367745;-0.0190348
1e+11;0.0107463;-0.00265088
1.5e+11;0.00132405;-0.00159114
2e+11;0.000329794;-8.77373e-05
2.5e+11;0.000114485;-8.63503e-05
-2.5e+11;0.000128021;0.000100764
-2e+11;0.000378308;0.000113016
-1.5e+11;0.0014721;0.00174347
-1e+11;0.0115551;0.00292329
-5e+10;-0.376679;0.0188135
0;-3.62711e-18;0
5e+10;-0.376679;-0.0188135
1e+11;0.0115551;-0.00292329
1.5e+11;0.0014721;-0.00174347
2e+11;0.000378308;-0.000113016
2.5e+11;0.000128021;-0.000100764
-2.5e+11;0.000149411;0.000116249
-2e+11;0.000440051;0.000140924
-1.5e+11;0.00164352;0.00190803
-1e+11;0.0124393;0.0032248
-5e+10;-0.38567;0.0184944
0;2.61004e-17;0
5e+10;-0.38567;-0.0184944
1e+11;0.0124393;-0.0032248
1.5e+11;0.00164352;-0.00190803
2e+11;0.000440051;-0.000140924
2.5e+11;0.000149411;-0.000116249
-2.5e+11;0.000193606;0.000133505
-2e+11;0.0005331;0.000175094
-1.5e+11;0.00186113;0.00209064
-1e+11;0.0134334;0.003564
-5e+10;-0.394706;0.018041
0;-2.7864e-17;0
5e+10;-0.394706;-0.018041
1e+11;0.0134334;-0.003564
1.5e+11;0.00186113;-0.00209064
2e+11;0.0005331;-0.000175094
2.5e+11;0.000193606;-0.000133505
-2.5e+11;0.000293523;0.000156457
-2e+11;0.000698823;0.000229965
-1.5e+11;0.00217895;0.00231163
-1e+11;0.0146156;0.00396482
-5e+10;-0.403752;0.0173751
0;2.10374e-16;0
5e+10;-0.403752;-0.0173751
1e+11;0.0146156;-0.00396482
1.5e+11;0.00217895;-0.00231163
2e+11;0.000698823;-0.000229965
2.5e+11;0.000293523;-0.000156457
-2.5e+11;0.000486128;0.000200489
-2e+11;0.000996972;0.000350589
-1.5e+11;0.00269176;0.00263143
-1e+11;0.0161359;0.00449218
-5e+10;-0.41273;0.0163466
0;6.50361e-16;0
5e+10;-0.41273;-0.0163466
1e+11;0.0161359;-0.00449218
1.5e+11;0.00269176;-0.00263143
2e+11;0.000996972;-0.000350589
2.5e+11;0.000486128;-0.000200489
-2.5e+11;0.00073991;0.00030768
-2e+11;0.00144393;0.000643683
-1.5e+11;0.00349219;0.00319027
-1e+11;0.0181916;0.00529106
-5e+10;-0.421494;0.0147464
0;1.03406e-15;0
5e+10;-0.421494;-0.0147464
1e+11;0.0181916;-0.00529106
1.5e+11;0.00349219;-0.00319027
2e+11;0.00144393;-0.000643683
2.5e+11;0.00073991;-0.00030768
-2.5e+11;0.000920105;0.000535334
-2e+11;0.00196036;0.00124379
-1.5e+11;0.00459175;0.00416408
-1e+11;0.0209107;0.00654302
-5e+10;-0.429895;0.0124187
0;1.30243e-17;0
5e+10;-0.429895;-0.0124187
1e+11;0.0209107;-0.00654302
1.5e+11;0.00459175;-0.00416408
2e+11;0.00196036;-0.00124379
2.5e+11;0.000920105;-0.000535334
-2.5e+11;0.000931834;0.000902054
-2e+11;0.00246439;0.00219009
-1.5e+11;0.00593166;0.00560597
-1e+11;0.0242671;0.00831136
-5e+10;-0.437907;0.00936335
0;-8.17545e-16;0
5e+10;-0.437907;-0.00936335
1e+11;0.0242671;-0.00831136
1.5e+11;0.00593166;-0.00560597
2e+11;0.00246439;-0.00219009
2.5e+11;0.000931834;-0.000902054
-2.5e+11;0.000785546;0.00138158
-2e+11;0.00293648;0.00341838
-1.5e+11;0.00744572;0.00743738
-1e+11;0.0281485;0.0105334
-5e+10;-0.445612;0.00567631
0;-1.98842e-16;0
5e+10;-0.445612;-0.00567631
1e+11;0.0281485;-0.0105334
1.5e+11;0.00744572;-0.00743738
2e+11;0.00293648;-0.00341838
2.5e+11;0.000785546;-0.00138158
-2.5e+11;0.000522353;0.00193964
-2e+11;0.00338224;0.0048475
-1.5e+11;0.00908383;0.00955846
-1e+11;0.0324511;0.0131272
-5e+10;-0.4531;0.00144599
0;-2.40314e-15;0
5e+10;-0.4531;-0.00144599
1e+11;0.0324511;-0.0131272
1.5e+11;0.00908383;-0.00955846
2e+11;0.00338224;-0.0048475
2.5e+11;0.000522353;-0.00193964
-2.5e+11;0.000173104;0.00254685
-2e+11;0.00380352;0.00640979
-1.5e+11;0.010806;0.011891
-1e+11;0.037105;0.0160379
-5e+10;-0.46043;-0.0032823
0;8.50935e-15;0
5e+10;-0.46043;0.0032823
1e+11;0.037105;-0.0160379
1.5e+11;0.010806;-0.011891
2e+11;0.00380352;-0.00640979
2.5e+11;0.000173104;-0.00254685
-2.5e+11;-0.000232826;0.0031624
-2e+11;0.00418475;0.00802148
-1.5e+11;0.0125526;0.0143641
-1e+11;0.0420552;0.0192499
-5e+10;-0.467604;-0.00851067
0;2.25022e-16;0
5e+10;-0.467604;0.00851067
1e+11;0.0420552;-0.0192499
1.5e+11;0.0125526;-0.0143641
2e+11;0.00418475;-0.00802148
2.5e+11;-0.000232826;-0.0031624
-2.5e+11;-0.000582905;0.0036592
-2e+11;0.00446448;0.00945324
-1.5e+11;0.0141257;0.016861
-1e+11;0.0471699;0.0228536
-5e+10;-0.474474;-0.0142843
0;-1.97063e-14;0
5e+10;-0.474474;0.0142843
1e+11;0.0471699;-0.0228536
1.5e+11;0.0141257;-0.016861
2e+11;0.00446448;-0.00945324
2.5e+11;-0.000582905;-0.0036592
-2.5e+11;-0.000543353;0.00372842
-2e+11;0.00451457;0.0101722
-1.5e+11;0.0150321;0.0191687
-1e+11;0.052098;0.0271542
-5e+10;-0.480599;-0.020647
0;-3.76082e-09;0
5e+10;-0.480599;0.020647
1e+11;0.052098;-0.0271542
1.5e+11;0.0150321;-0.0191687
2e+11;0.00451457;-0.0101722
2.5e+11;-0.000543353;-0.00372842
-2.5e+11;-0.00745418;0.0145177
-2e+11;0.0327655;-0.00886312
-1.5e+11;-0.00906423;-0.0121359
-1e+11;0.0637356;0.20474
-5e+10;-0.488899;-0.238254
0;-2.22601e-14;0
5e+10;-0.488899;0.238254
1e+11;0.0637356;-0.20474
1.5e+11;-0.00906423;0.0121359
2e+11;0.0327655;0.00886312
2.5e+11;-0.00745418;-0.0145177
